name,calories,proteins,lipids,carbs,fibers,userId,
Apa,0,0,0,0,0,admin,
Apa aromata Voslauer Balance,16,0,0,4,0,admin,
Apa de cocos Ufc Refresh,25,0,0,6,0,admin,
Apa minerala cu aroma de portocale Voslauer Biolimo,25,0,0,5,0,admin,
Apa minerala Feelings cu gust de mar,15,0,0,4,0,admin,
Apa tonica Schweppes Kinley,37,0,0,9,0,admin,
Apa tonica Schweppes Mandarin,42,0,0,10,0,admin,
Apa tonica Schweppes Pineapple-Coconut,20,0,0,5,0,admin,
Bautaura eco din orez Sano Vita,55,0,1,11,1,admin,
bautura Hydrate & Perform Sport Drink Isostar,373,0,0,88,0,admin,
Bautura alcoolicac pe baza de rom Bacardi Breezer,44,0,0,4,0,admin,
Bautura bio din ovaz Joya,46,1,1,8,1,admin,
Bautura calda 3in1 Sly,344,6,8,65,0,admin,
Bautura carbogazoasa Adria Cola,7,0,0,2,0,admin,
Bautura carbogazoasa Allegria Tropical,6,0,0,1,0,admin,
Bautura carbogazoasa Cola light Freeway Lidl,1,0,0,0,0,admin,
Bautura carbogazoasa Pepsi,42,0,0,12,0,admin,
Bautura carbogazoasa Pepsi Light,0,0,0,0,0,admin,
Bautura carbogazoasa Pepsi Max,0,0,0,0,0,admin,
Bautura carbogazoasa Pepsi Twist Lemon,41,0,0,10,0,admin,
Bautura carbogazoasa Sprite,39,0,0,10,0,admin,
Bautura Citrus Powerade,17,0,0,4,0,admin,
Bautura Cola Freeway,43,0,0,11,0,admin,
Bautura cu fructe si leche Don Simon,33,0,0,8,0,admin,
Bautura cu lamaie si ceai verde Top Lemon-Lime Santal,34,0,0,9,0,admin,
Bautura cu morcov portocale mar Tedi,52,0,0,12,1,admin,
Bautura de portocale Don Simon,43,1,0,10,0,admin,
Bautura de soia cu vanilie Delhaize,56,3,2,7,1,admin,
Bautura din hrisca bio The Bridge,57,1,2,10,1,admin,
Bautura din migdale cu calciu si vitamine Alpro,24,1,1,3,0,admin,
Bautura din orz solubil Crastan,344,8,0,78,4,admin,
Bautura din soia cu aroma de capsuni Inedit,33,2,1,4,0,admin,
Bautura din soia cu aroma de miere si cereale Inedit,34,2,1,5,0,admin,
Bautura din soia cu aroma de vanilie Inedit,33,2,1,4,0,admin,
Bautura din soia cu cafea Joya cappuccino,79,4,2,11,1,admin,
Bautura din soia cu ciocolata elvetiana Joya,80,4,3,9,1,admin,
Bautura din soia Soia & Fibre Carrefour,50,4,2,3,3,admin,
Bautura Dr. Pepper less sugar,28,0,0,7,0,admin,
Bautura energizanta 365,46,0,0,12,0,admin,
Bautura energizanta Burn,62,0,0,15,0,admin,
Bautura energizanta Classic Freeway Up,44,0,0,10,0,admin,
Bautura energizanta light Watt Energy,3,0,0,0,0,admin,
Bautura energizanta Monster Energy,48,0,0,12,0,admin,
Bautura energizanta Mountain Dew,48,0,0,13,0,admin,
Bautura energizanta Red Bull Cola,38,0,0,9,0,admin,
Bautura energizanta Red Bull sugarfree,3,0,0,0,0,admin,
