Piure de naut cu carne condimentata,GLUTEN_FREE;LUNCH,250 gr naut fiert (+ 100 ml apa in care a fiert);25 gr unt;25 gr ulei de masline extravirgin;1 lingura suc de lamaie;sare;piper negru proaspat rasnit;250 gr carne macinata (de vita/vitel sau miel);1/2 lingurita pasta de ardei (iute sau dulce);1/2 lingurita chimion macinat;1/2 lingurita coriandru boabe macinate;1/4 lingurita turmeric;coaja rasa de la 1/3 lamaie bio;75 ml apa in care a fiert nautul;cateva rosii cherry (optional);patrunjel si marar pentru decor;sare; piper negru,2,753,1450,https://www.e-retete.ro/files/recipes/xpiure-de-naut-cu-carne-condimentata.jpg.pagespeed.ic.BS4jLGVLF1.jpg,https://www.e-retete.ro/retete/piure-de-naut-cu-carne-condimentata,f332b38d-487a-480b-95d8-04c447462532
Vita cu legume la cuptor,LUNCH;GLUTEN_FREE,500 gr ceafa de vita (sau antricot);500 gr cartofi;1 ardei kapia rosu (cca 150 gr);1/2 ardei kapia verde (cca 75 gr);1 ceapa medie;3 catei mari de usturoi;3 rosii din conserva (sau 1 rosie mare proaspata si bine coapta);1 lingurita rasa oregano uscat;1/4 legatura patrunjel;1/2 lingurita menta uscata;1 lingura pasta de ardei dulce;1 foaie mare de dafin;5 linguri de ulei;sare;piper negru;fulgi de chili,4,1237,1870,https://www.e-retete.ro/files/recipes/xtocanita-de-vita-cu-legume-la-cuptor.jpg.pagespeed.ic.H1hY2epcMj.jpg,https://www.e-retete.ro/retete/vita-cu-legume-la-cuptor,31a6b806-6bf6-41dd-858a-4511b16d1853
Limonada cu mango,DRINKS,1 conserva de mango in sirop (de 425 gr);100 ml suc de lime (de la 2-3 limes);coaja rasa de la 2 limes;650 ml apa minerala;menta,0,1192,577,https://www.e-retete.ro/imagini/retete/limonada-cu-mango.jpg,https://www.e-retete.ro/retete/limonada-cu-mango,cf87467e-6284-4888-aa58-9d118d7625d4
Omleta taraneasca la cuptor,GLUTEN_FREE;BREAKFAST,4 oua;50 gr bacon;1 ceapa mica (cca 50 gr);1 cartof mediu (cca 200 gr);2 fire patrunjel;1 fir mic tarhon (sau marar);1 lingura ulei;sare;piper negru,2,613,1409,https://www.e-retete.ro/imagini/retete/omleta-taraneasca-la-cuptor.jpg,https://www.e-retete.ro/retete/omleta-taraneasca-la-cuptor,57c816d3-02f8-48e7-8729-e1b5e010c179
Pui cu dovlecei,DINNER;GLUTEN_FREE,500 gr carne de pui;1 dovlecel mediu (cca 500 gr);1 ceapa medie;1 ardei gras rosu;2 catei de usturoi;1/4 legatura patrunjel;3 rosii din conserva (+ sucul de pe ele);1 lingurita cu varf pasta de rosii;1/4 lingurita turmeric;1/8 lingurita scortisoara macinata;1/8 lingurita nucsoara macinata;1/8 lingurita chimion macinat;1/8 lingurita cardamom verde macinat;2 linguri ulei;sare;piper negru,4,1151,1360,https://www.e-retete.ro/imagini/retete/pui-cu-dovlecei.jpg,https://www.e-retete.ro/retete/pui-cu-dovlecei,8a91617b-da55-42ce-8bf1-33ae84facba5
Chiftele pane,DINNER,350 gr carne tocata de vita; 1 ceapa medie;45 gr orez ;1/4 lingurita chimion macinat;1/4 lingurita pul biber; 1/2 lingurita sare;piper negru;cateva fire de patrunjel;2 oua;3 linguri faina;2 linguri ulei,10,973,2544,https://www.e-retete.ro/imagini/retete/chiftele-pane.jpg,https://www.e-retete.ro/retete/chiftele-pane,c139c190-0719-41fa-bc68-632bad45a871
Cartofi copti cu ceapa caramelizata rucola si telemea,DINNER;GLUTEN_FREE,4 cartofi (medii);70 gr ceapa la cuptor;2 maini rucola ;50 gr telemea (de oaie);2 linguri ulei de masline,4,893,1120,https://www.e-retete.ro/imagini/retete/cartofi-copti-cu-ceapa-caramelizata-rucola-si-telemea.jpg,https://www.e-retete.ro/retete/cartofi-copti-cu-ceapa-caramelizata-rucola-si-telemea,f35d1c6a-26e8-40a6-9cc2-96acfbe43c84
Supa cu somon,LUNCH;GLUTEN_FREE,500 gr somon (file);1 ceapa mica;1 ardei gras rosu; 2 catei usturoi;3 rosii din conserva;2 fire apio;2 cartofi;1 fenicul;100 gr smantana acra/fermentata grasa; 1 lingurita cu varf verdeata de fenicul tocata;3 linguri ulei;1/4 lingurita chili fulgi (optional);sare;piper negru,4,1063,1030,https://www.e-retete.ro/imagini/retete/supa-cu-somon.jpg,https://www.e-retete.ro/retete/supa-cu-somon,9e7926bc-c919-43e3-b8b6-3f17db37d021
Ice tea cu fructul pasiunii,DRINKS,4 lingurite cu varf ceai negru (sau verde);5 bucati fructul pasiunii (maracuja);1 cana zahar;gheata,5,376,250,https://www.e-retete.ro/imagini/retete/ice-tea-cu-fructul-pasiunii.jpg,https://www.e-retete.ro/retete/ice-tea-cu-fructul-pasiunii,aa5da600-a13e-4c96-b94c-2be5fb340b88
Budinca de ovaz cu cacao,BREAKFAST,200 gr fulgi de ovaz; 150 gr cartofi dulci copti;2 oua;35 gr cacao;1 lingurita praf de copt;1 priza de sare;1/2 lingurita scortisoara;50 ml ulei;25 gr unt de migdale (sau alt unt de nuci);100 gr zahar;400 ml lapte (de vaca sau vegetal),6,1100,1154,https://www.e-retete.ro/imagini/retete/budinca-de-ovaz-cu-cacao.jpg,https://www.e-retete.ro/retete/budinca-de-ovaz-cu-cacao,70ca5c5b-a71e-47ab-9317-39c7b40a30e6
Trufe de ciocolata alba cu ghimbir,DESSERT;GLUTEN_FREE,150 gr ciocolata alba;50 ml smantana pentru frisca (minim 35% grasime);5-7 gr ghimbir;coaja rasa de la 1/4 lamaie; nuca de cocos,0,237,1100,https://www.e-retete.ro/imagini/retete/trufe-de-ciocolata-cu-ghimbir.jpg,https://www.e-retete.ro/retete/trufe-de-ciocolata-alba-cu-ghimbir,5f9b65cc-6665-4bfa-859b-aad0f521359b
Salata de naut cu avocado si branza de capra,BREAKFAST;GLUTEN_FREE,250 gr naut fiert;50 gr branza de capra proaspata;1 avocado;1 ceapa rosie mica;1/2 legatura patrunjel;5 fire marar;coaja rasa de la 1/2 lamaie mica;2 linguri suc de lamaie;1-2 linguri ulei masline;sare,2,637,930,https://www.e-retete.ro/imagini/retete/salata-de-naut-cu-avocado-si-branza-de-capra.jpg,https://www.e-retete.ro/retete/salata-de-naut-cu-avocado-si-branza-de-capra,b0591f02-169d-4ff8-9be1-729beac1a7ae
Frigarui de creveti cu sos de mango,DINNER;GLUTEN_FREE,30 creveti (650 gr necuratati);2 linguri sos Sriracha;2 linguri ulei de masline;2 catei de usturoi;1/2 lingurita miere (sau zahar);5 fire patrunjel;sare;piper negru;Sos de mango;1/2 mango mare; 1/2 lime;2 linguri ulei de masline;sare;piper negru,6,793,1250,https://www.e-retete.ro/files/recipes/frigarui-de-creveti-cu-sos-de-mango.jpg,https://www.e-retete.ro/retete/frigarui-de-creveti-cu-sos-de-mango,a28e962d-71d8-4eca-bb1d-67a2e126fa40
Sandwich cald cu mozzarella si prosciutto,BREAKFAST,2 felii paine taraneasca (sau ciabatta);2 felii prosciutto crudo;2 felii mozzarella;1 castravecior murat;1 frunza salata verde;3-4 felii rosie;putin ulei;sare;piper,1,330,717,https://www.e-retete.ro/imagini/retete/sandwich-cald-cu-mozzarella-si-prosciutto.jpg,https://www.e-retete.ro/retete/sandwich-cald-cu-mozzarella-si-prosciutto,848da345-13b1-4861-86ea-6b9870731dfb
Pui cu ghebe si vin rosu la cuptor,LUNCH;GLUTEN_FREE,500 gr carne de pui;1 punga ghebe congelate (450 gr);2 cepe;1 morcov mic;4 catei usturoi;1 lingura pasta de rosii;1/2 conserva de rosii (de 400 gr);1/4 legatura patrunjel;2 fire cimbru (proaspat sau uscat);1 lingurita pudra de hribi (optional);100 ml vin rosu sec;2 linguri ulei;sare;piper,3,1503,2056,https://www.e-retete.ro/imagini/retete/pui-cu-ghebe-si-vin-rosu-la-cuptor.jpg,https://www.e-retete.ro/retete/pui-cu-ghebe-si-vin-rosu-la-cuptor,4cb5c00f-3c7c-4a89-9d81-26b7b618f0a4
Limonada cu castravete,DRINKS,250 ml suc de lime (de la 6-7 lime);6 castraveciori proaspeti;1 cana zahar;4 cani apa rece;250 ml apa minerala carbogazoasa (1 cana);menta;cuburi de gheata,0,2250,1000,https://www.e-retete.ro/imagini/retete/limonada-cu-castravete.jpg,https://www.e-retete.ro/retete/limonada-cu-castravete,df039ca5-36a6-4cb0-8a7f-edd832bb5bc2
Piept de pui cu leurda pe orez cu pecorino,LUNCH;GLUTEN_FREE,500 gr piept de pui;1 legatura leurda (aprox 35 gr);1/2 lingurita pasta de ardei iute;3 linguri ulei masline;sare;piper negru;fulgi de chili;Orez cu pecorino;25 gr pecorino (parmezan sau alta branza);piper negru,4,2102,3060,https://www.e-retete.ro/imagini/retete/piept-de-pui-cu-leurda-pe-orez-cu-pecorino.jpg,https://www.e-retete.ro/retete/piept-de-pui-cu-leurda-pe-orez-cu-pecorino,3886f26c-67f7-4f4f-9158-b7a6913ee513
Scones cu malai,BREAKFAST,300 gr faina alba;120 gr faina de porumb (malai fin);1 lingurita zahar;1 lingurita cu varf sare;1 plic praf de copt (10 gr);1/2 legatura marar;1 morcov razuit;115 gr unt rece;150 gr iaurt grecesc;2 oua;150 gr telemea (de capra);4 linguri lapte;seminte de susan pentru decor,16,1191,2425,https://www.e-retete.ro/imagini/retete/scones-cu-malai.jpg,https://www.e-retete.ro/retete/scones-cu-malai,c6535b60-5ba9-4667-a5bb-9c1b0dfde03e
Bautura racoritoare din pepene rosu capsuni si banane,DRINKS,500 gr pulpa de pepene rosu;20 capsuni (aprox 300 gr);1 banana coapta;1 lingura zahar;1 esenta vanilie,5,923,327,https://www.e-retete.ro/imagini/retete/bautura-racoritoare-din-pepene-rosu-capsuni-si-banane.jpg,https://www.e-retete.ro/retete/bautura-racoritoare-din-pepene-rosu-capsuni-si-banane,14467f0e-1cfc-4f03-bfc6-db829039d6c2
Piept de pui cu salsa de rosii cherry coapte,LOW_CALORIES;GLUTEN_FREE;DINNER,1 piept de pui (cca 500 gr);1 lingura ulei;sare;piper negru;fulgi de chili;Salsa de rosii;400 gr rosii cherry (colorate daca se poate);2 linguri ulei de masline;2 catei usturoi;3 lingurite cu varf capere (in otet);1 ceapa rosie mica (cca 35 gr);1/2 lingura suc de lamaie;1 lingurita otet;10 frunze busuioc;5 fire patrunjel;sare;piper negru,2,984,1679,https://www.e-retete.ro/imagini/retete/piept-de-pui-cu-salsa-de-rosii-cherry-coapte.jpg,https://www.e-retete.ro/retete/piept-de-pui-cu-salsa-de-rosii-cherry-coapte,93668758-b2e1-45e5-a855-aa09cbba4aff
Supa de dovlecei,LOW_CALORIES;GLUTEN_FREE;DINNER,4 dovlecei mai mici (cca 800 gr);1 ceapa mica (cca 70 gr);1 legatura ceapa verde (5-6 fire cca 35 gr);1 legaturica patrunjel (cca 30 gr);1 catel mare de usturoi;coaja de la parmezan (cca 30 gr);1 fir busuioc (cam 10 frunze);3 linguri ulei;sare;piper negru,3,2187,653,https://www.e-retete.ro/imagini/retete/supa-de-dovlecei.jpg,https://www.e-retete.ro/retete/supa-de-dovlecei,749d2ff8-9639-4788-82dc-ce792dc9d58e
Vinete umplute cu legume,LOW_CALORIES;GLUTEN_FREE,2 vinete (nu foarte mari);1 1/2 cepe;1 ardei gras;3 rosii bine coapte;100 gr cascaval afumat;1/4 legatura patrunjel;3 linguri ulei + ulei pentru uns vinetele;1 lingurita oregano uscat;sare;piper,0,1183,781,https://www.e-retete.ro/imagini/retete/vinete-umplute-cu-legume.jpg,https://www.e-retete.ro/retete/vinete-umplute-cu-legume,abdf8bb8-cc68-4bc3-bc27-6240795488a7
Sushi Maki,LOW_CALORIES;GLUTEN_FREE;LUNCH,1 portie orez pentru sushi; 300 gr somon file (sau alt peste);1 castravete;foi nori;wasabi;ghimbir in saramura;sos de soia,6,885,1025,https://www.e-retete.ro/imagini/retete/sushi-maki.jpg,https://www.e-retete.ro/retete/sushi-maki,87cb1677-10fd-4c90-810a-a76032445ae0
